SampleId,Ad,Std,DI,CSR,CRI,gasRate,cokeRate
cd8056,11.97,0.70,88.15,70.94,22.81,319.03,74.56
cb8052,12.11,0.68,88.16,70.74,22.90,312.66,75.13
cb8055,12.02,0.63,88.53,70.48,22.90,312.66,75.13
ca8052,12.11,0.68,88.16,70.74,22.90,312.66,75.13
ca8058,11.96,0.70,88.00,70.55,23.23,317.44,74.70
cd8038,12.09,0.70,88.39,70.88,22.30,319.03,74.56
cd8043,12.19,0.70,88.42,70.72,22.67,313.60,75.04
cb8050,12.00,0.69,88.23,70.73,22.96,303.95,75.90
cb8027,12.22,0.70,88.32,70.64,23.02,315.66,74.86
ca8066,12.19,0.71,88.15,70.69,22.93,307.51,75.58
ca8051,12.15,0.66,88.15,70.56,22.92,307.98,75.54
cc8062,12.08,0.72,88.20,70.23,22.96,331.68,73.43
cc8024,12.04,0.69,88.59,70.52,23.23,320.53,74.43
cb8067,12.04,0.70,88.33,71.02,22.89,317.35,74.71
cd8051,12.20,0.67,88.26,70.68,22.62,316.69,74.77
cd8062,12.08,0.75,88.42,70.86,22.25,312.85,75.11
cc8058,12.08,0.74,88.07,71.03,22.94,326.34,73.91
cc8067,12.06,0.67,88.24,70.84,22.63,317.35,74.71
cb8046,11.88,0.70,88.50,71.30,22.49,314.44,74.97
cd8052,12.21,0.68,88.54,70.15,22.90,309.95,75.37
cb8028,11.90,0.69,88.45,70.83,23.04,311.91,75.19
cd8066,12.29,0.69,88.44,71.72,22.92,322.97,74.21
cd8065,12.16,0.69,88.35,71.20,22.78,323.16,74.19
cd8046,12.01,0.64,88.56,72.33,20.01,311.07,75.27
cd8026,11.89,0.69,88.19,70.84,22.97,308.82,75.47
cd8047,12.04,0.69,88.07,70.06,22.96,302.07,76.07
cd8030,12.18,0.71,88.54,70.07,23.56,311.26,75.25
cc8022,11.86,0.70,88.45,70.24,23.42,323.25,74.18
cb8042,11.86,0.71,88.41,71.24,22.96,317.07,74.73
cc8065,12.23,0.67,88.22,70.62,22.56,322.13,74.28
cd8061,12.13,0.68,88.64,71.00,21.60,323.16,74.19
cc8027,12.09,0.67,88.54,70.56,23.70,322.03,74.29
cd8053,12.10,0.63,88.45,70.36,22.72,313.32,75.07
cb8064,12.01,0.75,88.30,71.48,22.71,311.91,75.19
ca8039,11.82,0.70,88.04,71.43,21.84,309.57,75.40
ca8057,12.02,0.68,88.00,70.54,22.91,309.76,75.38
cd8044,12.15,0.71,88.68,70.66,22.91,311.82,75.20
ca8063,12.05,0.68,88.53,71.60,21.50,321.66,74.33
cb8061,12.09,0.67,88.69,71.61,21.40,319.32,74.53
cd8057,11.84,0.67,88.49,70.73,22.47,319.03,74.56
ca8060,12.07,0.67,88.60,71.37,21.64,318.19,74.63
